127.0.0.1 - - [29/May/2022:21:42:14 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:15 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:15 -0500] "GET /ProyectoFinal_LPII/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:15 -0500] "GET /ProyectoFinal_LPII/img/usuario.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:15 -0500] "GET /ProyectoFinal_LPII/img/llave.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:15 -0500] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:26 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:26 -0500] "GET /ProyectoFinal_LPII/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2022:21:42:26 -0500] "GET /ProyectoFinal_LPII/css/heder.css HTTP/1.1" 304 -
192.168.1.7 - - [29/May/2022:23:21:32 -0500] "GET / HTTP/1.1" 404 1002
192.168.1.7 - - [29/May/2022:23:21:32 -0500] "GET /HNAP1/ HTTP/1.1" 404 1012
